target_date,residual_pool_size,scenario_count,method,day_steps,generation_lower_bound_kw,generation_upper_bound_kw,load_lower_bound_kw,all_sources_strictly_before_target
2025-02-01,23,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-02-02,24,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-02-03,25,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-02-04,26,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-02-05,27,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-02-06,28,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-02-07,29,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-02-08,30,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-02-09,31,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-02-10,32,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-02-11,33,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-02-12,34,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-02-13,35,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-02-14,36,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-02-15,37,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-02-16,38,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-02-17,39,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-02-18,40,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-02-19,41,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-02-20,42,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-02-21,43,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-02-22,44,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-02-23,45,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-02-24,46,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-02-25,47,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-02-26,48,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-02-27,49,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-02-28,50,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-03-01,51,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-03-02,52,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-03-03,53,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-03-04,54,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-03-05,55,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-03-06,56,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-03-07,57,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-03-08,58,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-03-09,59,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-03-10,60,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-03-11,61,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-03-12,62,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-03-13,63,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-03-14,64,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-03-15,65,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-03-16,66,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-03-17,67,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-03-18,68,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-03-19,69,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-03-20,70,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-03-21,71,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-03-22,72,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-03-23,73,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-03-24,74,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-03-25,75,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-03-26,76,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-03-27,77,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-03-28,78,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-03-29,79,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-03-30,80,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-03-31,81,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-04-01,82,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-04-02,83,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-04-03,84,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-04-04,85,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-04-05,86,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-04-06,87,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-04-07,88,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-04-08,89,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-04-09,90,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-04-10,91,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-04-11,92,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-04-12,93,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-04-13,94,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-04-14,95,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-04-15,96,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-04-16,97,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-04-17,98,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-04-18,99,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-04-19,100,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-04-20,101,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
2025-04-21,102,50,paired_whole_day_residual_resampling,144,0.0,,0.0,True
