date,solver,status,runtime_seconds,initial_energy_kwh,final_energy_kwh,terminal_value_rates_yuan_per_kwh,terminal_value_breakpoints_kwh,terminal_uncertainty_reserve_kwh,terminal_value_credit_yuan,planned_purchase_cost_yuan,expected_emergency_cost_yuan,expected_total_cost_yuan,optimization_objective_yuan,risk_method,cvar_alpha,risk_weight,var_cost_yuan,cvar_cost_yuan,lambda_cvar_term_yuan,planned_purchase_energy_kwh,expected_emergency_energy_kwh,expected_planned_grid_used_energy_kwh,expected_unused_planned_grid_energy_kwh,charge_energy_kwh,discharge_energy_kwh,expected_spill_energy_kwh,minimum_energy_kwh,maximum_energy_kwh,maximum_power_balance_residual_kw,maximum_soc_residual_kwh,planned_final_energy_kwh,actual_initial_energy_kwh,actual_final_energy_kwh,realized_emergency_energy_kwh,realized_emergency_cost_yuan,realized_total_cost_yuan,realized_planned_grid_used_energy_kwh,realized_unused_planned_grid_energy_kwh,realized_pv_spill_energy_kwh,actual_charge_energy_kwh,actual_discharge_energy_kwh,battery_clipping_energy_kwh,battery_clipping_intervals,scenario_emergency_interval_count
2025-02-01,PuLP HiGHS,Optimal,7.4011106,6000,7189.18008607,1.124955|0.726615|0.384264,3506.12668|7153.06334|10800,3506.12668024,5244.20762069,26301.1319228,1103.93953508,27405.0714579,22509.3579702,CVaR,0.9,0.2,1593.52332054,1742.47066493,348.494132987,49536.5633255,306.507535683,45994.0904829,3542.47284262,21660.0277588,16506.8654785,2812.74888309,1200,10800,3.12638803734e-13,1.81898940355e-12,7153.06334012,6000,7189.18008607,141.781552734,722.488527327,27023.6204502,43681.964837,5854.59848851,4543.45359401,20167.6567626,15265.5399003,2733.69657443,32,866
2025-02-02,PuLP HiGHS,Optimal,1.056478,7189.18008607,7055.40240761,1.124955|0.726615|0.384264,3310.804815|7055.402408|10800,3310.80481523,5095.44121051,59885.8212795,1383.73892506,61269.5602045,56582.4682291,CVaR,0.9,0.2,1934.09843378,2041.7461753,408.34923506,94239.9529126,365.724339427,89178.5938783,5061.35903425,24684.6914684,20115,1260.33421146,1200,10800,4.54747350886e-13,2.27373675443e-13,7055.40240761,7189.18008607,7055.40240761,52.712714974,160.45612037,60046.2773999,82385.5144699,11854.4384427,59.1740666667,21806.1846253,17783.4094571,5210.09738606,27,939
2025-02-03,PuLP HiGHS,Optimal,1.1219953,7055.40240761,7055.40235185,1.124955|0.726615|0.384264,3310.804704|7055.402352|10800,3310.80470371,5095.44112557,58589.6179745,1391.90385042,59981.521825,55388.0746115,CVaR,0.9,0.2,2473.06782694,2509.96956039,501.993912079,92703.492866,356.773182063,87720.3175198,4983.17534626,24833.3332714,20115,1319.00957721,1200,10800,3.41060513165e-13,9.09494701773e-13,7055.40235185,7055.40240761,7055.40235185,106.926071722,425.351119612,59014.9690941,84388.7562683,8314.73659776,0,22519.8204746,18241.0546346,4187.45816226,25,950
2025-02-04,PuLP HiGHS,Optimal,1.1393851,7055.40235185,7079.21568092,1.124955|0.726615|0.384264,3315.626909|7057.813454|10800,3315.62690857,5099.11394585,58918.2703812,1373.87136231,60292.1417435,55671.7863917,CVaR,0.9,0.2,2356.63770562,2393.79296982,478.758593964,93205.8611048,354.508074876,87924.1354828,5281.72562197,24724.3165433,20024.5264079,1338.61703063,1200,10800,9.09494701773e-13,9.09494701773e-13,7057.81345429,7055.40235185,7079.21568092,385.829934809,1354.45994163,60272.7303229,85335.7164447,7870.14466015,0,23711.8443859,19185.1619564,1851.83660894,23,878
2025-02-05,PuLP HiGHS,Optimal,1.090855,7079.21568092,6873.5491149,1.124955|0.726615|0.384264,2947.09823|6873.549115|10800,2947.0982298,4818.42499898,57706.002823,1411.39841853,59117.4012415,54904.9431454,CVaR,0.9,0.2,2813.06654432,3029.83451413,605.966902826,91457.7186508,373.753320559,86496.7193426,4960.99930825,24320.7262142,19884.8881429,1309.02636749,1200,10800,2.27373675443e-13,9.09494701773e-13,6873.5491149,7079.21568092,6873.5491149,219.71198782,827.734139353,58533.7369624,84748.0460218,6709.67262907,2.0525,23170.4128194,18953.1342931,2082.06724464,22,940
2025-02-06,PuLP HiGHS,Optimal,3.92834279999,6873.5491149,7092.43511486,1.124955|0.726615|0.384264,3337.542418|7068.771209|10800,3337.54241809,5115.80583888,59329.3600902,1378.63054128,60707.9906314,56052.7682128,CVaR,0.9,0.2,2282.80996031,2302.91710125,460.58342025,93496.1979525,361.961026388,88427.787053,5068.41089949,25050.2467713,20115,1236.25503012,1200,10800,4.54747350886e-13,9.09494701773e-13,7068.77120905,6873.5491149,7092.43511486,94.5929961589,327.339379879,59656.69947,84728.3913281,8767.80662438,1.40081666667,22913.3099523,18362.7836614,3889.15315754,25,972
2025-02-07,PuLP HiGHS,Optimal,3.50297910001,7092.43511486,7058.30191845,1.124955|0.726615|0.384264,3288.933463|7044.466731|10800,3288.93346291,5078.78294969,25039.4901716,1024.38027176,26063.8704434,21265.2034848,CVaR,0.9,0.2,1400.57995545,1400.57995545,280.115991091,46916.6801867,287.866714674,43292.8268684,3623.85331825,20326.9641333,16508.0124931,2960.169409,1200,10800,4.54747350886e-13,4.54747350886e-13,7044.46673145,7092.43511486,7058.30191845,91.2462180432,512.658398228,25552.1485698,40824.28496,6092.39522668,5518.88391379,19061.5130231,15470.5454255,2302.91817789,28,840
2025-02-08,PuLP HiGHS,Optimal,3.4441795,7058.30191845,7044.46668684,1.124955|0.726615|0.384264,3288.933374|7044.466687|10800,3288.93337368,5078.78288173,22733.3586303,1007.62125541,23740.9798857,19018.7068252,CVaR,0.9,0.2,1761.89201851,1782.54910603,356.509821206,42551.73527,286.905594052,39120.3324159,3431.40285413,19645.2026273,15925.0658366,3711.8367107,1200,10800,4.77484718431e-12,1.81898940355e-12,7044.46668684,7058.30191845,7044.46668684,123.282302719,550.483591382,23283.8422217,39172.8025777,3378.9326923,4208.23348732,18542.844131,15032.1554546,1995.26887829,24,811
2025-02-09,PuLP HiGHS,Optimal,1.1503644,7044.46668684,7044.46672119,1.124955|0.726615|0.384264,3288.933442|7044.466721|10800,3288.93344238,5078.78293405,55175.5626544,1355.20974421,56530.7723986,51986.7840074,CVaR,0.9,0.2,2572.9069876,2673.97271406,534.794542811,87858.7739376,352.334066088,82871.5856596,4987.18827801,24628.0599457,19948.7285251,1551.24257676,1200,10800,4.54747350886e-13,9.09494701773e-13,7044.46672119,7044.46668684,7044.46672119,759.097473727,2479.31733769,57654.8799921,83254.3174324,4604.4565052,0,23463.1521503,19005.1532109,2108.48310966,23,932
2025-02-10,PuLP HiGHS,Optimal,1.1171763,7044.46672119,6903.82552941,1.124955|0.726615|0.384264,2997.494005|6898.747002|10800,2997.494005,4856.80881517,55895.6509895,1381.11175178,57276.7627413,52967.3229212,CVaR,0.9,0.2,2382.88784013,2736.84497548,547.368995095,88694.4890101,383.157266815,83994.0409703,4700.44803983,24437.4055939,19925.4462779,1504.46401781,1200,10800,4.54747350886e-13,0,6898.7470025,7044.46672119,6903.82552941,125.87983949,401.965177615,56297.6161671,78450.9610528,10243.5279573,499.663033333,20405.8807801,16655.3405045,7301.63058729,31,936
