date,solver,status,runtime_seconds,initial_energy_kwh,final_energy_kwh,terminal_value_rates_yuan_per_kwh,terminal_value_breakpoints_kwh,terminal_uncertainty_reserve_kwh,terminal_value_credit_yuan,planned_purchase_cost_yuan,expected_emergency_cost_yuan,expected_total_cost_yuan,optimization_objective_yuan,risk_method,cvar_alpha,risk_weight,var_cost_yuan,cvar_cost_yuan,lambda_cvar_term_yuan,planned_purchase_energy_kwh,expected_emergency_energy_kwh,expected_planned_grid_used_energy_kwh,expected_unused_planned_grid_energy_kwh,charge_energy_kwh,discharge_energy_kwh,expected_spill_energy_kwh,minimum_energy_kwh,maximum_energy_kwh,maximum_power_balance_residual_kw,maximum_soc_residual_kwh,planned_final_energy_kwh,actual_initial_energy_kwh,actual_final_energy_kwh,realized_emergency_energy_kwh,realized_emergency_cost_yuan,realized_total_cost_yuan,realized_planned_grid_used_energy_kwh,realized_unused_planned_grid_energy_kwh,realized_pv_spill_energy_kwh,actual_charge_energy_kwh,actual_discharge_energy_kwh,battery_clipping_energy_kwh,battery_clipping_intervals,scenario_emergency_interval_count
2025-02-01,PuLP HiGHS,Optimal,3.4068312,6000,7189.18008607,1.124955|0.726615|0.384264,3506.12668|7153.06334|10800,3506.12668024,5244.20762069,26102.8205847,1256.21356253,27359.0341473,22324.526213,CVaR,0.9,0.1,1884.15868891,2096.99686407,209.699686407,49221.847756,347.742168132,45831.3550947,3390.49266131,21609.7676638,16466.1548015,2700.79754547,1200,10800,4.54747350886e-13,1.81898940355e-12,7153.06334012,6000,7189.18008607,149.50264694,762.842908743,26865.6634935,43540.9744239,5680.87333217,4410.18427511,20167.6567626,15265.5399003,2642.72580242,31,961
2025-02-02,PuLP HiGHS,Optimal,0.992832400007,7189.18008607,7055.40240761,1.124955|0.726615|0.384264,3310.804815|7055.402408|10800,3310.80481523,5095.44121051,59501.2976788,1687.78492711,61189.082606,56354.1192312,CVaR,0.9,0.1,2496.34216252,2604.77835778,260.477835778,93767.6943674,437.267984025,88965.3648354,4802.32953205,24684.6914684,20115,1118.64881308,1200,10800,4.54747350886e-13,9.09494701773e-13,7055.40240761,7189.18008607,7055.40240761,60.9457473028,216.032350552,59717.3300294,82419.3121568,11348.3822106,59.1740666667,22027.3989373,17962.5930498,4809.69948131,27,1075
2025-02-03,PuLP HiGHS,Optimal,1.000702,7055.40240761,7055.40235185,1.124955|0.726615|0.384264,3310.804704|7055.402352|10800,3310.80470371,5095.44112557,58283.9645374,1603.97301611,59887.9375536,55114.2735922,CVaR,0.9,0.1,2873.49625487,3217.7716418,321.77716418,92284.9834396,414.029312741,87613.8446868,4671.13875278,24833.3332714,20115,1269.7928749,1200,10800,4.54747350886e-13,1.81898940355e-12,7055.40235185,7055.40240761,7055.40235185,128.471583832,500.507617418,58784.4721549,84382.7440792,7902.2393604,0,22601.5748062,18307.2756432,4039.48282202,25,1069
2025-02-04,PuLP HiGHS,Optimal,0.997596599991,7055.40235185,7079.21568092,1.124955|0.726615|0.384264,3315.626909|7057.813454|10800,3315.62690857,5099.11394585,58523.2277371,1683.25306813,60206.4808052,55407.4099641,CVaR,0.9,0.1,2943.32924292,3000.43104742,300.043104742,92690.712049,432.501885693,87744.6055254,4946.10652365,24669.0850518,19979.7888997,1247.57486736,1200,10800,4.54747350886e-13,9.09494701773e-13,7057.81345429,7055.40235185,7079.21568092,417.3818998,1524.3506648,60047.5784019,85309.6518794,7381.06016966,0,23740.7254368,19208.5556077,1699.59290698,22,1036
2025-02-05,PuLP HiGHS,Optimal,0.981975999995,7079.21568092,6873.5491149,1.124955|0.726615|0.384264,2947.09823|6873.549115|10800,2947.0982298,4818.42499898,57348.3428311,1666.69857754,59015.0414086,54574.0968548,CVaR,0.9,0.1,3302.86198644,3774.80445187,377.480445187,90976.1131518,442.003881539,86341.4307758,4634.68237592,24255.1012644,19831.7319336,1234.45710217,1200,10800,4.54747350886e-13,9.09494701773e-13,6873.5491149,7079.21568092,6873.5491149,268.898248834,1054.68572179,58403.0285529,84703.4042935,6272.70885827,2.0525,23194.3314126,18972.5083536,1919.99343174,22,1100
2025-02-06,PuLP HiGHS,Optimal,3.737069,6873.5491149,7092.43511486,1.124955|0.726615|0.384264,3337.542418|7068.771209|10800,3337.54241809,5115.80583888,58950.2458329,1674.69345463,60624.9392876,55799.3581324,CVaR,0.9,0.1,2853.39634717,2902.24683758,290.224683758,92988.0401511,437.886332478,88283.0109894,4705.02916167,25050.2467713,20115,1167.40427268,1200,10800,9.09494701773e-13,9.09494701773e-13,7068.77120905,6873.5491149,7092.43511486,97.1099639323,335.645373531,59285.8912065,84746.2669149,8241.77323622,1.40081666667,23020.639187,18449.7203415,3694.8872428,26,1107
2025-02-07,PuLP HiGHS,Optimal,5.62564090001,7092.43511486,7058.30191845,1.124955|0.726615|0.384264,3288.933463|7044.466731|10800,3288.93346291,5078.78294969,24773.1542657,1209.59450541,25982.7487712,21096.066277,CVaR,0.9,0.1,1912.07951606,1921.00455487,192.100455487,46493.5864949,332.738331381,43083.0387455,3410.54774946,20233.7157253,16432.4812826,2812.97010027,1200,10800,0,9.09494701773e-13,7044.46673145,7092.43511486,7058.30191845,105.756747145,607.797248961,25380.9515147,40680.2614002,5813.32509476,5389.76938886,19059.415624,15468.8465322,2137.9348516,28,939
2025-02-08,PuLP HiGHS,Optimal,3.36750199999,7058.30191845,7044.46668684,1.124955|0.726615|0.384264,3288.933374|7044.466687|10800,3288.93337368,5078.78288173,22472.4575449,1203.52418403,23675.9817289,18821.425094,CVaR,0.9,0.1,2229.56487963,2242.26246816,224.226246816,42126.5489541,343.167809451,38994.2410894,3132.30786469,19611.68865,15897.919515,3648.37525536,1200,10800,4.54747350886e-13,3.63797880709e-12,7044.46668684,7058.30191845,7044.46668684,150.245731571,676.233916945,23148.6914618,39104.3780176,3022.17093653,4166.77235606,18542.844131,15032.1554546,1934.60857938,24,930
2025-02-09,PuLP HiGHS,Optimal,1.15959510001,7044.46668684,7044.46672119,1.124955|0.726615|0.384264,3288.933442|7044.466721|10800,3288.93344238,5078.78293405,54738.9903437,1680.41066496,56419.4010086,51687.2075739,CVaR,0.9,0.1,3370.58001569,3465.89499365,346.589499365,87242.7681588,439.967138557,82627.1215604,4615.64659838,24550.2494517,19885.702025,1409.1955439,1200,10800,4.54747350886e-13,1.81898940355e-12,7044.46672119,7044.46668684,7044.46672119,915.219317792,3110.05737632,57849.04772,83108.0514272,4134.71673157,0,23515.0249866,19047.1702082,1873.75628198,21,1079
2025-02-10,PuLP HiGHS,Optimal,1.1159917,7044.46672119,6903.82552941,1.124955|0.726615|0.384264,2997.494005|6898.747002|10800,2997.494005,4856.80881517,55553.0391975,1631.81390412,57184.8531016,52671.2064032,CVaR,0.9,0.1,2743.24277579,3431.62116707,343.162116707,88232.3175575,449.831742979,83825.3608705,4406.95668698,24364.5583516,19866.4400116,1416.29937019,1200,10800,9.09494701773e-13,4.54747350886e-13,6898.7470025,7044.46672119,6903.82552941,156.276256631,524.409571575,56077.4487691,78429.963358,9802.35419948,499.663033333,20455.3477397,16695.4087418,7080.24188176,31,1092
