month,days_solved,optimal_days,planned_cost_yuan,realized_cost_yuan,emergency_energy_kwh,emergency_cost_yuan,adjustment_cost_yuan,ending_realized_soc_kwh
2025-02,28,28,1277719.6666251745,1320682.3006266060,10908.7575931550,45165.0683723873,-2202.4343709560,6962.2977151924
2025-03,31,31,1100667.6563724440,1185054.8704387613,21124.2400144849,84620.4175777460,-233.2035114289,6959.1202719521
2025-04,30,30,888719.3341484341,978142.5212045573,23967.3394789908,87500.4689772064,1922.7180789167,7022.7337713999
2025-05,31,31,893256.2176231792,1038002.9660510353,34858.7794693996,141663.5687628475,3083.1796650086,7595.9957379741
2025-06,30,30,1283596.9086864474,1599068.0878605759,73483.9228888766,308916.5218741082,6554.6573000202,7730.7593006668
2025-07,31,31,1601944.6403811232,1900410.7682975293,70709.4762789383,296591.0323290656,1875.0955873405,7687.3717295126
2025-08,31,31,1429894.5731807321,1507493.5419114700,17425.5547056826,74559.4761765003,3039.4925542377,7763.6942280105
2025-09,30,30,1141646.2896105582,1213453.7805909365,17014.2162515142,68079.5905682701,3727.9004121083,8009.6665787126
2025-10,31,31,1128237.7445831490,1188837.1102526444,15260.2544777704,59662.9493917118,936.4162777837,7671.2442663087
2025-11,30,30,1326883.6127638624,1388217.4868057810,14225.1166098736,56905.1002879366,4428.7737539821,7844.2685613706
2025-12,31,31,1876828.1155015319,2013615.8424573278,32668.3904085233,135097.3859559416,1690.3409998541,7802.7401985621
