month,days_solved,optimal_days,planned_cost_yuan,realized_cost_yuan,emergency_energy_kwh,emergency_cost_yuan,adjustment_cost_yuan,ending_realized_soc_kwh
2025-02,28,28,1277394.7029591938,1321360.9114411343,10914.0404087788,43966.2084819403,0.0000000000,6999.2064518099
2025-03,31,31,1100249.7537647134,1192297.3560666963,23268.5174922213,92047.6023019830,0.0000000000,6993.0134342061
2025-04,30,30,888140.5243772423,991065.6478728772,28404.1442340867,102925.1234956349,0.0000000000,7048.2138043136
2025-05,31,31,892578.4328714074,1055044.7844483750,40345.5935907128,162466.3515769677,0.0000000000,7694.0379892958
2025-06,30,30,1282824.0920464220,1630032.5376272281,81893.0740775833,347208.4455808061,0.0000000000,7755.3360006090
2025-07,31,31,1600385.3823996091,1907964.9031818237,73727.8065635346,307579.5207822147,0.0000000000,7759.2014427830
2025-08,31,31,1428231.5101276925,1516062.5284739239,20467.9636844830,87831.0183462314,0.0000000000,7847.0803228456
2025-09,30,30,1140390.7891189437,1220102.4240945925,20019.7634502660,79711.6349756486,0.0000000000,8106.6683429960
2025-10,31,31,1127161.4291286317,1190827.2539293354,16454.5044386786,63665.8248007037,0.0000000000,7710.9790014393
2025-11,30,30,1326383.1712067809,1388000.0245903889,15401.1828555248,61616.8533836079,0.0000000000,7867.4413526118
2025-12,31,31,1876331.6925454873,2018534.8017930796,34407.2843983228,142203.1092475923,0.0000000000,7834.3287696161
