month,days_solved,optimal_days,planned_cost_yuan,realized_cost_yuan,emergency_energy_kwh,emergency_cost_yuan,adjustment_cost_yuan,ending_realized_soc_kwh
2025-02,28,28,1277961.3136684315,1311869.2183422614,10641.1893198702,44243.4419188281,-10335.5372449984,6947.9320151418
2025-03,31,31,1100813.4821107453,1168268.0311143082,17815.9181877632,70861.5264825785,-3406.9774790156,6941.7457823868
2025-04,30,30,889054.5869667999,970548.0772035271,21319.5305766090,80530.3815160792,963.1087206480,7015.7499909275
2025-05,31,31,893379.1410415669,1029888.7771871326,32798.8613959495,135499.3476067756,1010.2885387902,7596.7561374592
2025-06,30,30,1283747.3852173539,1568142.1504186643,65399.2868961345,273060.6182118653,11334.1469894451,7673.8081342172
2025-07,31,31,1601927.7060245408,1884880.6171836883,68496.4892599501,285416.4301064115,-2463.5189472641,7669.8584111894
2025-08,31,31,1428680.2459500642,1501338.4202184146,16394.8805691462,70071.9427429535,2586.2315253968,7753.6831928542
2025-09,30,30,1141627.7220907018,1203975.3562963768,13988.7046724666,56443.7495731753,5903.8846324996,8005.3581383700
2025-10,31,31,1128358.0099448797,1178917.5124442440,12304.1476929723,48526.8635633830,2032.6389359813,7635.8166318284
2025-11,30,30,1327448.8925154200,1376224.8102900863,11175.9972613500,44809.9781624418,3965.9396122246,7797.9429616794
2025-12,31,31,1877662.7014208720,2006115.1467711125,31411.8466838087,129388.2231229299,-935.7777726894,7761.9847329769
